scores 2023-06-07,profits 2023-06-07,percentage 2023-06-07
0.1786,-0.043,-0.43
0.0297,-0.061,-0.608
0.3058,0.032,0.316
0.1957,0.068,0.675
0.3646,-0.027,-0.267
0.3646,-0.026,-0.262
0.0,0.018,0.18
0.3447,0.02,0.203
-0.0834,0.302,3.023
0.0592,0.049,0.488
0.0,0.06,0.603
0.3792,-0.005,-0.051
0.1544,0.015,0.151
0.0592,-0.053,-0.535
0.05,-0.033,-0.332
0.0743,-0.065,-0.648
0.2119,-0.018,-0.176
0.1599,0.044,0.443
-0.0999,-0.035,-0.345
0.0,-0.002,-0.023
0.0272,0.049,0.488
0.1155,-0.047,-0.468
0.1256,-0.039,-0.391
0.1741,-0.05,-0.497
0.0268,-0.005,-0.052
0.0359,-0.034,-0.339
0.1457,-0.003,-0.032
0.0763,-0.035,-0.354
0.076,0.095,0.954
0.0558,-0.034,-0.335
0.2897,-0.022,-0.221
0.0081,0.024,0.239
0.0881,-0.019,-0.195
0.2852,0.047,0.467
0.1797,-0.017,-0.165
0.1248,-0.031,-0.311
0.1193,0.01,0.101
0.1144,0.039,0.386
0.1659,0.067,0.673
0.2796,0.279,2.79
0.3202,0.046,0.461
0.0504,0.048,0.475
0.0356,0.006,0.058
0.1091,0.004,0.037
0.0541,-0.002,-0.021
0.294,0.035,0.354
0.2226,0.026,0.262
0.0,-0.049,-0.489
0.1543,0.01,0.103
0.1274,-0.014,-0.141
0.4632,0.032,0.316
0.0,0.037,0.373
0.2666,-0.008,-0.082
0.0256,0.041,0.405
0.0293,-0.015,-0.146
-0.0879,0.023,0.226
-0.0063,-0.003,-0.031
0.1269,-0.021,-0.208
0.0804,0.02,0.195
0.1527,0.023,0.227
0.0918,-0.014,-0.143
0.1993,0.023,0.232
0.0636,0.034,0.336
-0.2379,-0.026,-0.255
-0.5515,0.034,0.338
0.1021,0.048,0.477
0.1835,0.05,0.499
0.1701,0.112,1.119
0.0253,0.026,0.257
0.0301,-0.022,-0.22
-0.0372,0.022,0.221
0.0,-0.033,-0.333
-0.0256,0.099,0.993
-0.05,-0.136,-1.358
-0.0671,-0.011,-0.111
0.0405,0.008,0.082
0.1335,-0.004,-0.045
-0.1486,-0.086,-0.864
0.0762,-0.007,-0.066
0.1225,0.008,0.078
0.205,0.017,0.169
0.1785,0.002,0.022
