#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Apple Inc,AAPL,7.343245,   171.71,0.15,-0.09%
2,Microsoft Corp,MSFT,6.755976,   313.50,-1.76,(-0.56%)
3,Amazon.com Inc,AMZN,2.951817,   115.74,0.75,-0.65%
4,Nvidia Corp,NVDA,2.173018,   302.05,-4.83,(-1.57%)
5,Alphabet Inc Cl A,GOOGL,2.101195,   120.86,-1.7,(-1.39%)
6,Alphabet Inc Cl C,GOOG,1.842633,   121.63,-1.66,(-1.35%)
7,Berkshire Hathaway Inc Cl B,BRK.B,1.675704,   319.93,-3.18,(-0.98%)
8,Meta Platforms Inc Class A,META,1.580821,   249.15,2.41,-0.98%
9,Tesla Inc,TSLA,1.438158,   182.80,-2.97,(-1.60%)
10,Unitedhealth Group Inc,UNH,1.289469,   480.60,1.16,-0.24%
11,Exxon Mobil Corp,XOM,1.261627,   107.67,1.27,-1.19%
12,Johnson & Johnson,JNJ,1.180103,   156.29,-0.53,(-0.33%)
13,Jpmorgan Chase & Co,JPM,1.153618,   135.39,-1.2,(-0.88%)
14,Visa Inc Class a Shares,V,1.050791,   222.56,-2.02,(-0.90%)
15,Procter & Gamble Co,PG,1.001967,   146.57,-0.98,(-0.66%)
16,Eli Lilly & Co,LLY,0.960741,   424.63,1.42,-0.34%
17,Mastercard Inc A,MA,0.907713,   368.46,-5.29,(-1.41%)
18,Home Depot Inc,HD,0.865261,   291.09,-3.85,(-1.30%)
19,Merck & Co. Inc.,MRK,0.826648,   113.83,0.56,-0.49%
20,Broadcom Inc,AVGO,0.826051,   678.78,-7.72,(-1.13%)
21,Chevron Corp,CVX,0.803182,   157.50,0.65,-0.41%
22,Pepsico Inc,PEP,0.737882,   185.50,-0.57,(-0.31%)
23,Abbvie Inc,ABBV,0.725728,   141.25,-1.27,(-0.89%)
24,Coca Cola Co,KO,0.687874,   61.07,-0.33,(-0.54%)
25,Pfizer Inc,PFE,0.640703,   38.63,-1.02,(-2.56%)
26,Costco Wholesale Corp,COST,0.61929,   482.95,-1.93,(-0.40%)
27,Mcdonald S Corp,MCD,0.603734,   285.77,-0.61,(-0.21%)
28,Walmart Inc,WMT,0.598853,   147.27,-1.04,(-0.70%)
29,Salesforce Inc,CRM,0.594814,   207.65,1.01,-0.49%
30,Thermo Fisher Scientific Inc,TMO,0.593012,   509.43,-15.7,(-2.99%)
31,Cisco Systems Inc,CSCO,0.578364,   48.46,-0.45,(-0.93%)
32,Bank of America Corp,BAC,0.574183,   28.10,-0.49,(-1.70%)
33,Abbott Laboratories,ABT,0.530697,   104.12,-1.62,(-1.53%)
34,Accenture Plc Cl A,ACN,0.522235,   283.07,-5.03,(-1.75%)
35,Advanced Micro Devices,AMD,0.501793,   108.08,-0.04,(-0.03%)
36,Linde Plc,LIN,0.501695,   354.75,0.81,-0.23%
37,Comcast Corp Class A,CMCSA,0.489105,   40.27,-0.11,(-0.28%)
38,Adobe Inc,ADBE,0.488138,   366.16,-4.26,(-1.15%)
39,Walt Disney Co,DIS,0.47246,   89.07,-0.75,(-0.84%)
40,Netflix Inc,NFLX,0.456342,   365.35,9.36,-2.63%
41,Wells Fargo & Co,WFC,0.452155,   40.85,-0.36,(-0.87%)
42,Texas Instruments Inc,TXN,0.442813,   164.86,-4.88,(-2.88%)
43,Verizon Communications Inc,VZ,0.438116,   35.91,-0.33,(-0.91%)
44,Oracle Corp,ORCL,0.435919,   97.44,-1.1,(-1.12%)
45,Danaher Corp,DHR,0.433961,   229.33,-0.68,(-0.29%)
46,Nextera Energy Inc,NEE,0.424197,   74.29,0.13,-0.18%
47,Philip Morris International,PM,0.414722,   92.54,-0.4,(-0.43%)
48,Bristol Myers Squibb Co,BMY,0.407298,   65.58,-0.95,(-1.43%)
49,Raytheon Technologies Corp,RTX,0.396723,   93.55,-0.53,(-0.56%)
50,Nike Inc Cl B,NKE,0.390043,   108.24,-0.55,(-0.50%)
51,Honeywell International Inc,HON,0.374971,   192.83,-2.14,(-1.10%)
52,Conocophillips,COP,0.367749,   104.84,0.45,-0.43%
53,Intuit Inc,INTU,0.36432,   414.51,-35.3,(-7.85%)
54,Lowe S Cos Inc,LOW,0.359698,   204.36,-2.29,(-1.11%)
55,United Parcel Service Cl B,UPS,0.356694,   169.20,-0.59,(-0.35%)
56,Intel Corp,INTC,0.351412,   29.00,-0.52,(-1.75%)
57,Union Pacific Corp,UNP,0.345867,   191.97,-4.41,(-2.25%)
58,Amgen Inc,AMGN,0.34497,   221.84,-2.6,(-1.16%)
59,S&p Global Inc,SPGI,0.343321,   356.07,-6.12,(-1.69%)
60,Medtronic Plc,MDT,0.333715,   87.29,0.16,-0.18%
61,Intl Business Machines Corp,IBM,0.333596,   125.29,-2.89,(-2.26%)
62,Qualcomm Inc,QCOM,0.332313,   102.46,-1.1,(-1.06%)
63,Starbucks Corp,SBUX,0.331953,   99.64,-0.7,(-0.70%)
64,At&t Inc,T,0.330336,   15.97,-0.14,(-0.84%)
65,Boeing Co,BA,0.328053,   199.78,-2.82,(-1.39%)
66,Prologis Inc,PLD,0.327744,   122.36,-1.18,(-0.96%)
67,Caterpillar Inc,CAT,0.318634,   211.81,-0.9,(-0.42%)
68,General Electric Co,GE,0.318353,   100.89,-0.82,(-0.80%)
69,Goldman Sachs Group Inc,GS,0.315509,   320.05,-3.52,(-1.09%)
70,Elevance Health Inc,ELV,0.314615,   457.81,0.3,-0.07%
71,Morgan Stanley,MS,0.310885,   81.07,-1.58,(-1.91%)
72,Intuitive Surgical Inc,ISRG,0.30404,   298.98,-2.46,(-0.82%)
73,Applied Materials Inc,AMAT,0.301428,   120.91,-3.58,(-2.88%)
74,Mondelez International Inc A,MDLZ,0.296934,   75.58,-0.07,(-0.10%)
75,Lockheed Martin Corp,LMT,0.296015,   453.18,0.55,-0.12%
76,Booking Holdings Inc,BKNG,0.29412,"   2,632.07",-5.42,(-0.21%)
77,Servicenow Inc,NOW,0.292258,   505.78,5.64,-1.13%
78,Blackrock Inc,BLK,0.285623,   642.69,-18.8,(-2.85%)
79,Gilead Sciences Inc,GILD,0.282153,   79.19,0.61,-0.78%
80,Deere & Co,DE,0.280592,   355.46,-5.02,(-1.39%)
81,Analog Devices Inc,ADI,0.274171,   173.63,-14.3,(-7.61%)
82,Stryker Corp,SYK,0.266162,   275.33,1.17,-0.43%
83,American Express Co,AXP,0.262034,   151.57,-0.99,(-0.65%)
84,Tjx Companies Inc,TJX,0.257774,   76.36,-1.13,(-1.46%)
85,Cvs Health Corp,CVS,0.25752,   68.86,-0.81,(-1.16%)
86,Automatic Data Processing,ADP,0.257175,   213.26,-2.29,(-1.06%)
87,Citigroup Inc,C,0.255541,   44.52,-1.39,(-3.03%)
88,American Tower Corp,AMT,0.251847,   183.14,-5.01,(-2.66%)
89,Marsh & Mclennan Cos,MMC,0.248581,   173.12,-1.28,(-0.74%)
90,Vertex Pharmaceuticals Inc,VRTX,0.24688,   334.20,0.69,-0.21%
91,T Mobile Us Inc,TMUS,0.241029,   140.95,-0.42,(-0.29%)
92,Chubb Ltd,CB,0.234372,   194.88,-1.56,(-0.79%)
93,Schwab (Charles) Corp,SCHW,0.231781,   52.29,-0.5,(-0.95%)
94,Regeneron Pharmaceuticals,REGN,0.231635,   745.00,-3.56,(-0.48%)
95,Zoetis Inc,ZTS,0.231278,   169.17,-3.5,(-2.03%)
96,Altria Group Inc,MO,0.230958,   44.99,0.06,-0.13%
97,Progressive Corp,PGR,0.224292,   132.52,-0.84,(-0.63%)
98,Lam Research Corp,LRCX,0.222728,   566.50,-6.99,(-1.22%)
99,Southern Co,SO,0.222599,   71.00,-0.15,(-0.21%)
100,The Cigna Group,CI,0.216655,   249.84,-2.08,(-0.83%)
101,Fiserv Inc,FISV,0.215815,   119.00,0.73,-0.61%
102,Boston Scientific Corp,BSX,0.21199,   52.20,0.7,-1.36%
103,Micron Technology Inc,MU,0.207334,   66.53,0.52,-0.79%
104,Paypal Holdings Inc,PYPL,0.201977,   61.77,-0.23,(-0.37%)
105,Becton Dickinson and Co,BDX,0.201348,   245.45,-1.03,(-0.42%)
106,Duke Energy Corp,DUK,0.200848,   90.70,-0.06,(-0.06%)
107,Eaton Corp Plc,ETN,0.19617,   168.46,-2.91,(-1.70%)
108,Target Corp,TGT,0.194645,   142.77,-4.39,(-2.98%)
109,Eog Resources Inc,EOG,0.191514,   114.13,0.67,-0.59%
110,Csx Corp,CSX,0.19099,   30.87,-0.75,(-2.36%)
111,Schlumberger Ltd,SLB,0.188292,   46.32,0.26,-0.56%
112,Aon Plc Class A,AON,0.185839,   312.01,-2.39,(-0.76%)
113,Equinix Inc,EQIX,0.185308,   675.21,-21.6,(-3.10%)
114,Colgate Palmolive Co,CL,0.185219,   77.61,0.57,-0.73%
115,Cme Group Inc,CME,0.185135,   178.25,-0.83,(-0.46%)
116,Northrop Grumman Corp,NOC,0.183451,   446.87,3.84,-0.87%
117,Humana Inc,HUM,0.182398,   506.62,-0.31,(-0.06%)
118,Illinois Tool Works,ITW,0.178206,   223.62,0.56,-0.25%
119,Waste Management Inc,WM,0.174708,   163.25,0.47,-0.29%
120,Intercontinental Exchange In,ICE,0.173556,   106.43,-1.46,(-1.36%)
121,Air Products & Chemicals Inc,APD,0.173061,   270.91,-0.59,(-0.22%)
122,Synopsys Inc,SNPS,0.172522,   390.72,-2.37,(-0.60%)
123,Kla Corp,KLAC,0.165279,   412.76,-1.93,(-0.47%)
124,O Reilly Automotive Inc,ORLY,0.164082,   929.01,17.02,-1.87%
125,Hca Healthcare Inc,HCA,0.163197,   264.76,-3,(-1.12%)
126,Chipotle Mexican Grill Inc,CMG,0.16266,"   2,076.00",28.99,-1.42%
127,Cadence Design Sys Inc,CDNS,0.162517,   205.55,-0.21,(-0.10%)
128,Activision Blizzard Inc,ATVI,0.162269,   77.95,-1.18,(-1.50%)
129,3m Co W/d,MMM,0.159955,   97.14,-3.56,(-3.54%)
130,Mckesson Corp,MCK,0.154985,   396.46,3.32,-0.84%
131,Sherwin Williams Co,SHW,0.154107,   228.98,1.93,-0.85%
132,Fedex Corp,FDX,0.151481,   223.73,-2.91,(-1.28%)
133,Edwards Lifesciences Corp,EW,0.150649,   83.96,-0.78,(-0.92%)
134,Pioneer Natural Resources Co,PXD,0.146298,   214.78,0.76,-0.36%
135,General Mills Inc,GIS,0.145076,   85.09,-0.38,(-0.44%)
136,Marathon Petroleum Corp,MPC,0.14364,   111.46,1.54,-1.40%
137,Freeport Mcmoran Inc,FCX,0.142682,   33.16,-1.52,(-4.38%)
138,Moody S Corp,MCO,0.14133,   309.12,-3.67,(-1.17%)
140,Pnc Financial Services Group,PNC,0.140807,   120.39,-1.1,(-0.91%)
141,Crown Castle Inc,CCI,0.140565,   111.33,-1.63,(-1.45%)
142,Norfolk Southern Corp,NSC,0.14032,   211.07,-2.93,(-1.37%)
143,Motorola Solutions Inc,MSI,0.137387,   283.64,-1.8,(-0.63%)
144,Roper Technologies Inc,ROP,0.137148,   439.45,-10.5,(-2.34%)
145,Kimberly Clark Corp,KMB,0.134666,   138.02,-0.55,(-0.40%)
146,General Motors Co,GM,0.134163,   32.24,-1.19,(-3.55%)
147,General Dynamics Corp,GD,0.134054,   207.66,0.71,-0.35%
148,Dollar General Corp,DG,0.133971,   209.53,1.35,-0.65%
149,Emerson Electric Co,EMR,0.133439,   79.21,-1.91,(-2.35%)
150,Autozone Inc,AZO,0.13301,"   2,431.54",-31.9,(-1.29%)
151,Ford Motor Co,F,0.132644,   11.35,-0.39,(-3.28%)
152,Sempra Energy,SRE,0.132345,   145.85,-0.65,(-0.44%)
153,Marriott International Cl A,MAR,0.131098,   167.70,-1.84,(-1.09%)
154,Public Storage,PSA,0.130855,   285.59,-1.92,(-0.67%)
155,Moderna Inc,MRNA,0.130818,   131.89,-5.86,(-4.25%)
156,Nxp Semiconductors Nv,NXPI,0.130353,   165.32,-9.74,(-5.56%)
157,Dexcom Inc,DXCM,0.128418,   116.65,0.96,-0.83%
158,Phillips 66,PSX,0.128293,   97.39,1.75,-1.83%
159,Estee Lauder Companies Cl A,EL,0.127872,   189.77,-1.98,(-1.03%)
160,Amphenol Corp Cl A,APH,0.127728,   72.70,-1.96,(-2.63%)
161,American Electric Power,AEP,0.126993,   85.74,-0.26,(-0.31%)
162,Fortinet Inc,FTNT,0.12687,   66.14,-1.95,(-2.87%)
163,Monster Beverage Corp,MNST,0.126824,   58.27,0.33,-0.58%
164,Arthur J Gallagher & Co,AJG,0.126132,   206.02,-0.6,(-0.29%)
165,Biogen Inc,BIIB,0.125831,   298.04,-5.11,(-1.69%)
166,Dominion Energy Inc,D,0.125419,   51.43,-0.86,(-1.64%)
167,Us Bancorp,USB,0.124882,   30.81,-0.33,(-1.05%)
168,Occidental Petroleum Corp,OXY,0.124705,   59.41,-0.27,(-0.45%)
169,Valero Energy Corp,VLO,0.124698,   114.97,2.47,-2.19%
170,Microchip Technology Inc,MCHP,0.122406,   72.66,-4.96,(-6.39%)
